user, group, time,
Liuyixuan_1472779459, 1.0, 1.299931041605305,
Liuyixuan_1472779459, 1.0, 0.11652604160190094,
Liuyixuan_1472779459, 1.0, 0.1498494166007731,
pengchen_1472738902, 1.0, 1.2835290833900217,
pengchen_1472738902, 1.0, 0.2166121249902062,
pengchen_1472738902, 1.0, 0.28315654159814585,
xuxuhai_1472722693, 1.0, 0.7333820833009668,
xuxuhai_1472722693, 1.0, 0.18336720830120612,
xuxuhai_1472722693, 1.0, 0.6504425417006132,
xuxuhai_1472722693, 1.0, 0.1001328749989625,
xuxuhai_1472722693, 1.0, 0.43352316659729695,
xuxuhai_1472722693, 1.0, 0.11679974999424303,
xuxuhai_1472722693, 1.0, 0.7500471249950351,
xuxuhai_1472722693, 1.0, 0.416566125000827,
xuxuhai_1472722693, 1.0, 0.33319166669389233,
yixin_1472634106, 1.0, 0.2834329583001818,
zhangzhe_1472740556, 1.0, 0.14983645839674864,
zhangzhe_1472740556, 1.0, 0.1834148334019119,
zhujunyan_1472801142, 1.0, 0.8333761665999191,
zhujunyan_1472801142, 1.0, 0.11659404159581754,
zhujunyan_1472801142, 1.0, 0.18309412500821054,
zhujunyan_1472801142, 1.0, 0.9498698749957839,
zhujunyan_1472801142, 1.0, 0.14987125000334345,
zhujunyan_1472801142, 1.0, 0.11646041669882834,
zhujunyan_1472801142, 1.0, 0.09994012500101235,
zhujunyan_1472801142, 1.0, 0.7334352500038221,
zhujunyan_1472801142, 1.0, 0.08335320829064585,
zhujunyan_1472801142, 1.0, 1.0667969583009835,
